2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-05-28_0019_B_rjegyz_k_2026_M_jus_Graphtrek_Kft._Tatai_Imre_2026.05.28._7-05-48.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-05-28_0020_B_rjegyz_k_2026_M_jus_Graphtrek_Kft._Ko_s_Kriszti_n_2026.05.28._7-19-16.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-05-28_0021_Kiemelt_k_zszerepl_i_nyilatkozat_GT.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-04_0030_GRAPHTREK_sz_mla.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-04_0031_NEXYS_sz_mla.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-04_0033_GRPHT_ERSTE_TIMESHEET_2026-05.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-04_0034_GRTK-TIG-2026-05.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-07_0035_GRTK-TIG-2026-05.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-07_0036_GRPHT_ERSTE_TIMESHEET_2026-05.pdf
2026-06-12 16:55:04 INFO     pdf_szamla.extractor: Skipping non-invoice file: 2026-06-09_0037_GRTK-TIG-2026-05.pdf
2026-06-12 16:55:04 WARNING  pdfminer.pdffont: Could not get FontBBox from font descriptor because None cannot be parsed as 4 floats
2026-06-12 16:55:04 WARNING  pdfminer.pdffont: Could not get FontBBox from font descriptor because None cannot be parsed as 4 floats
2026-06-12 16:55:05 WARNING  pdfminer.pdffont: Could not get FontBBox from font descriptor because None cannot be parsed as 4 floats
2026-06-12 16:55:05 INFO     pdf_szamla.service: Extraction complete: 20 invoice(s) from 0 file(s) in 9869ms
2026-06-12 16:55:05 INFO     pdf_szamla.api.main: POST /api/v1/invoices/extract → 200 in 9874ms
2026-06-12 16:56:10 INFO     watchfiles.main: 1 change detected
2026-06-12 16:56:11 INFO     watchfiles.main: 3 changes detected
2026-06-12 16:56:21 INFO     watchfiles.main: 1 change detected
